id,sensor_type,value,timestamp
1670,total dissolved solids,0.3,2024-12-22 04:29:19
1671,turbidity,3014.83,2024-12-22 04:29:20
1672,total dissolved solids,0.33,2024-12-22 04:29:21
1673,temperature,78.35,2024-12-22 04:29:21
1674,turbidity,3016.88,2024-12-22 04:29:22
1675,total dissolved solids,0.3,2024-12-22 04:29:23
1676,turbidity,3014.83,2024-12-22 04:29:24
1677,temperature,79.14,2024-12-22 04:29:24
1678,total dissolved solids,0.3,2024-12-22 04:29:25
1679,turbidity,3009.26,2024-12-22 04:29:26
1680,total dissolved solids,0.3,2024-12-22 04:29:27
1681,temperature,79.59,2024-12-22 04:29:27
1682,turbidity,3012.1,2024-12-22 04:29:29
1683,total dissolved solids,0.3,2024-12-22 04:29:29
1684,temperature,79.81,2024-12-22 04:29:30
1685,turbidity,3008.69,2024-12-22 04:29:31
1686,total dissolved solids,0.33,2024-12-22 04:29:31
1687,turbidity,3005.5,2024-12-22 04:29:33
1688,temperature,79.7,2024-12-22 04:29:33
1689,total dissolved solids,0.3,2024-12-22 04:29:34
1690,turbidity,3011.53,2024-12-22 04:29:35
1691,temperature,79.59,2024-12-22 04:29:36
1692,total dissolved solids,0.33,2024-12-22 04:29:36
1693,turbidity,3010.51,2024-12-22 04:29:37
1694,total dissolved solids,0.3,2024-12-22 04:29:38
1695,temperature,79.59,2024-12-22 04:29:39
1696,turbidity,3002.55,2024-12-22 04:29:39
1697,total dissolved solids,0.3,2024-12-22 04:29:40
1698,turbidity,3010.17,2024-12-22 04:29:41
1699,temperature,79.47,2024-12-22 04:29:42
1700,total dissolved solids,0.3,2024-12-22 04:29:42
1701,turbidity,3009.03,2024-12-22 04:29:43
1702,total dissolved solids,0.3,2024-12-22 04:29:44
1703,temperature,79.25,2024-12-22 04:29:45
1704,turbidity,3009.71,2024-12-22 04:29:45
1705,total dissolved solids,0.3,2024-12-22 04:29:47
1706,turbidity,3005.62,2024-12-22 04:29:47
1707,temperature,79.14,2024-12-22 04:29:48
1708,total dissolved solids,0.3,2024-12-22 04:29:49
1709,turbidity,3013.12,2024-12-22 04:29:50
1710,temperature,79.03,2024-12-22 04:29:51
1711,total dissolved solids,0.3,2024-12-22 04:29:51
1712,turbidity,3009.71,2024-12-22 04:29:52
1713,total dissolved solids,0.3,2024-12-22 04:29:53
1714,temperature,78.8,2024-12-22 04:29:54
1715,turbidity,3012.56,2024-12-22 04:29:54
1716,total dissolved solids,0.3,2024-12-22 04:29:55
1717,turbidity,3008.12,2024-12-22 04:29:56
1718,temperature,78.8,2024-12-22 04:29:56
1719,total dissolved solids,0.3,2024-12-22 04:29:57
1720,turbidity,3014.6,2024-12-22 04:29:58
1721,total dissolved solids,0.3,2024-12-22 04:29:59
1722,temperature,78.58,2024-12-22 04:29:59
1723,turbidity,3006.3,2024-12-22 04:30:00
1724,total dissolved solids,0.27,2024-12-22 04:30:01
1725,temperature,78.46,2024-12-22 04:30:02
1726,turbidity,3017.11,2024-12-22 04:30:02
1727,total dissolved solids,0.3,2024-12-22 04:30:04
1728,turbidity,3010.39,2024-12-22 04:30:04
1729,temperature,78.35,2024-12-22 04:30:05
1730,total dissolved solids,0.3,2024-12-22 04:30:06
1731,turbidity,3013.24,2024-12-22 04:30:07
1732,total dissolved solids,0.3,2024-12-22 04:30:08
1733,temperature,78.12,2024-12-22 04:30:08
1734,turbidity,3012.33,2024-12-22 04:30:09
1735,total dissolved solids,0.33,2024-12-22 04:30:10
1736,turbidity,3011.64,2024-12-22 04:30:11
1737,temperature,78.12,2024-12-22 04:30:11
1738,total dissolved solids,0.3,2024-12-22 04:30:12
1739,turbidity,3009.94,2024-12-22 04:30:13
1740,temperature,77.9,2024-12-22 04:30:14
1741,total dissolved solids,0.3,2024-12-22 04:30:14
1742,turbidity,3015.51,2024-12-22 04:30:15
1743,total dissolved solids,0.3,2024-12-22 04:30:16
1744,temperature,77.79,2024-12-22 04:30:17
1745,turbidity,3011.19,2024-12-22 04:30:17
1746,total dissolved solids,0.33,2024-12-22 04:30:18
1747,turbidity,3011.53,2024-12-22 04:30:19
1748,temperature,77.79,2024-12-22 04:30:20
1749,total dissolved solids,0.3,2024-12-22 04:30:21
1750,turbidity,3006.64,2024-12-22 04:30:21
1751,total dissolved solids,0.3,2024-12-22 04:30:23
1752,temperature,77.67,2024-12-22 04:30:23
1753,turbidity,3010.28,2024-12-22 04:30:23
1754,total dissolved solids,0.3,2024-12-22 04:30:25
1755,turbidity,3009.94,2024-12-22 04:30:26
1756,temperature,77.45,2024-12-22 04:30:26
1757,total dissolved solids,0.33,2024-12-22 04:30:27
1758,turbidity,3009.26,2024-12-22 04:30:28
1759,temperature,77.67,2024-12-22 04:30:29
1760,total dissolved solids,0.3,2024-12-22 04:30:29
1761,turbidity,3009.82,2024-12-22 04:30:30
1762,total dissolved solids,0.3,2024-12-22 04:30:31
1763,temperature,78.91,2024-12-22 04:30:31
1764,turbidity,3007.1,2024-12-22 04:30:32
1765,total dissolved solids,0.3,2024-12-22 04:30:33
1766,turbidity,3015.74,2024-12-22 04:30:34
1767,temperature,80.26,2024-12-22 04:30:34
1768,total dissolved solids,0.3,2024-12-22 04:30:35
1769,turbidity,3007.1,2024-12-22 04:30:36
1770,temperature,81.16,2024-12-22 04:30:37
1771,total dissolved solids,0.3,2024-12-22 04:30:38
1772,turbidity,3011.53,2024-12-22 04:30:38
1773,total dissolved solids,0.3,2024-12-22 04:30:40
1774,temperature,81.28,2024-12-22 04:30:40
1775,turbidity,3010.96,2024-12-22 04:30:40
1776,total dissolved solids,0.3,2024-12-22 04:30:42
1777,turbidity,3008.69,2024-12-22 04:30:42
1778,temperature,81.05,2024-12-22 04:30:43
1779,total dissolved solids,0.3,2024-12-22 04:30:44
1780,turbidity,3014.49,2024-12-22 04:30:45
1781,temperature,80.83,2024-12-22 04:30:46
1782,total dissolved solids,0.3,2024-12-22 04:30:46
1783,turbidity,3008.01,2024-12-22 04:30:47
1784,total dissolved solids,0.3,2024-12-22 04:30:48
1785,turbidity,3009.03,2024-12-22 04:30:49
1786,temperature,80.6,2024-12-22 04:30:49
1787,total dissolved solids,0.3,2024-12-22 04:30:51
1788,turbidity,3013.01,2024-12-22 04:30:51
1789,temperature,80.49,2024-12-22 04:30:52
1790,total dissolved solids,0.3,2024-12-22 04:30:53
1791,turbidity,3014.26,2024-12-22 04:30:53
1792,temperature,80.26,2024-12-22 04:30:55
1793,total dissolved solids,0.3,2024-12-22 04:30:55
1794,turbidity,3006.3,2024-12-22 04:30:55
1795,total dissolved solids,0.3,2024-12-22 04:30:57
1796,turbidity,3002.89,2024-12-22 04:30:57
1797,temperature,80.04,2024-12-22 04:30:58
1798,total dissolved solids,0.3,2024-12-22 04:30:59
1799,turbidity,3008.12,2024-12-22 04:30:59
1800,temperature,79.92,2024-12-22 04:31:01
1801,total dissolved solids,0.3,2024-12-22 04:31:01
1802,turbidity,3013.69,2024-12-22 04:31:02
1803,total dissolved solids,0.3,2024-12-22 04:31:03
1804,temperature,79.7,2024-12-22 04:31:04
1805,turbidity,3011.3,2024-12-22 04:31:04
1806,total dissolved solids,0.3,2024-12-22 04:31:05
1807,turbidity,3009.37,2024-12-22 04:31:06
1808,temperature,79.47,2024-12-22 04:31:06
1809,total dissolved solids,0.3,2024-12-22 04:31:08
1810,turbidity,3008.12,2024-12-22 04:31:08
1811,temperature,79.36,2024-12-22 04:31:09
1812,total dissolved solids,0.3,2024-12-22 04:31:10
1813,turbidity,3014.83,2024-12-22 04:31:10
1814,total dissolved solids,0.33,2024-12-22 04:31:12
1815,turbidity,3009.14,2024-12-22 04:31:12
1816,temperature,79.14,2024-12-22 04:31:12
1817,total dissolved solids,0.3,2024-12-22 04:31:14
1818,turbidity,3010.28,2024-12-22 04:31:14
1819,temperature,79.03,2024-12-22 04:31:15
1820,total dissolved solids,0.3,2024-12-22 04:31:16
1821,turbidity,3009.48,2024-12-22 04:31:16
1822,total dissolved solids,0.3,2024-12-22 04:31:18
1823,temperature,78.91,2024-12-22 04:31:18
1824,turbidity,3013.35,2024-12-22 04:31:19
1825,total dissolved solids,0.3,2024-12-22 04:31:20
1826,turbidity,3007.21,2024-12-22 04:31:21
1827,temperature,78.8,2024-12-22 04:31:21
1828,total dissolved solids,0.3,2024-12-22 04:31:22
1829,turbidity,3010.85,2024-12-22 04:31:23
1830,temperature,78.58,2024-12-22 04:31:24
1831,total dissolved solids,0.3,2024-12-22 04:31:25
1832,turbidity,3007.55,2024-12-22 04:31:25
1833,total dissolved solids,0.3,2024-12-22 04:31:27
1834,turbidity,3014.03,2024-12-22 04:31:27
1835,temperature,78.46,2024-12-22 04:31:27
1836,total dissolved solids,0.3,2024-12-22 04:31:29
1837,turbidity,3008.57,2024-12-22 04:31:29
1838,temperature,78.35,2024-12-22 04:31:30
1839,total dissolved solids,0.33,2024-12-22 04:31:31
1840,turbidity,3013.47,2024-12-22 04:31:31
1841,temperature,78.24,2024-12-22 04:31:33
1842,total dissolved solids,0.33,2024-12-22 04:31:33
1843,turbidity,3004.71,2024-12-22 04:31:33
1844,total dissolved solids,0.3,2024-12-22 04:31:35
1845,turbidity,3014.94,2024-12-22 04:31:35
1846,temperature,78.12,2024-12-22 04:31:36
1847,total dissolved solids,0.33,2024-12-22 04:31:37
1848,turbidity,3013.35,2024-12-22 04:31:38
1849,temperature,78.35,2024-12-22 04:31:39
1850,total dissolved solids,0.3,2024-12-22 04:31:39
1851,turbidity,3014.83,2024-12-22 04:31:40
1852,total dissolved solids,0.3,2024-12-22 04:31:42
1853,temperature,79.7,2024-12-22 04:31:42
1854,turbidity,3010.39,2024-12-22 04:31:42
1855,total dissolved solids,0.3,2024-12-22 04:31:44
1856,turbidity,3015.74,2024-12-22 04:31:44
1857,temperature,80.04,2024-12-22 04:31:45
1858,total dissolved solids,0.3,2024-12-22 04:31:46
1859,turbidity,3011.64,2024-12-22 04:31:46
1860,temperature,79.81,2024-12-22 04:31:47
1861,total dissolved solids,0.3,2024-12-22 04:31:48
1862,turbidity,3010.39,2024-12-22 04:31:48
1863,total dissolved solids,0.3,2024-12-22 04:31:50
1864,turbidity,3013.12,2024-12-22 04:31:50
1865,temperature,79.7,2024-12-22 04:31:50
1866,total dissolved solids,0.3,2024-12-22 04:31:52
1867,turbidity,3013.58,2024-12-22 04:31:52
1868,temperature,79.47,2024-12-22 04:31:53
1869,total dissolved solids,0.3,2024-12-22 04:31:54
1870,turbidity,3007.55,2024-12-22 04:31:54
1871,temperature,79.14,2024-12-22 04:31:56
1872,total dissolved solids,0.3,2024-12-22 04:31:56
1873,turbidity,3014.6,2024-12-22 04:31:57
1874,total dissolved solids,0.3,2024-12-22 04:31:58
1875,turbidity,3014.49,2024-12-22 04:31:59
1876,temperature,79.81,2024-12-22 04:31:59
1877,total dissolved solids,0.3,2024-12-22 04:32:01
1878,turbidity,3012.33,2024-12-22 04:32:01
1879,temperature,80.83,2024-12-22 04:32:02
1880,total dissolved solids,0.3,2024-12-22 04:32:03
1881,turbidity,3012.9,2024-12-22 04:32:03
1882,total dissolved solids,0.33,2024-12-22 04:32:05
1883,temperature,81.5,2024-12-22 04:32:05
1884,turbidity,3006.87,2024-12-22 04:32:05
1885,total dissolved solids,0.33,2024-12-22 04:32:07
1886,turbidity,3014.38,2024-12-22 04:32:07
1887,temperature,81.5,2024-12-22 04:32:08
1888,total dissolved solids,0.3,2024-12-22 04:32:09
1889,turbidity,3006.87,2024-12-22 04:32:09
1890,temperature,81.16,2024-12-22 04:32:11
1891,total dissolved solids,0.33,2024-12-22 04:32:11
1892,turbidity,3005.62,2024-12-22 04:32:11
1893,total dissolved solids,0.3,2024-12-22 04:32:13
1894,turbidity,3013.47,2024-12-22 04:32:14
1895,temperature,80.83,2024-12-22 04:32:14
1896,total dissolved solids,0.3,2024-12-22 04:32:15
1897,turbidity,3009.6,2024-12-22 04:32:16
1898,temperature,80.49,2024-12-22 04:32:17
1899,total dissolved solids,0.33,2024-12-22 04:32:18
1900,turbidity,3008.35,2024-12-22 04:32:18
1901,total dissolved solids,0.3,2024-12-22 04:32:20
1902,turbidity,3008.35,2024-12-22 04:32:20
1903,temperature,80.15,2024-12-22 04:32:20
1904,total dissolved solids,0.3,2024-12-22 04:32:22
1905,turbidity,3011.53,2024-12-22 04:32:22
1906,temperature,79.81,2024-12-22 04:32:23
1907,total dissolved solids,0.3,2024-12-22 04:32:24
1908,turbidity,3011.08,2024-12-22 04:32:24
1909,temperature,79.59,2024-12-22 04:32:26
1910,total dissolved solids,0.3,2024-12-22 04:32:26
1911,turbidity,3010.28,2024-12-22 04:32:26
1912,total dissolved solids,0.3,2024-12-22 04:32:28
1913,turbidity,3006.87,2024-12-22 04:32:28
1914,temperature,79.36,2024-12-22 04:32:29
1915,total dissolved solids,0.3,2024-12-22 04:32:30
1916,turbidity,3013.24,2024-12-22 04:32:30
1917,temperature,79.25,2024-12-22 04:32:32
1918,total dissolved solids,0.3,2024-12-22 04:32:32
1919,turbidity,3010.51,2024-12-22 04:32:33
1920,temperature,78.91,2024-12-22 04:32:35
1921,total dissolved solids,0.3,2024-12-22 04:32:35
1922,turbidity,3009.48,2024-12-22 04:32:35
1923,total dissolved solids,0.3,2024-12-22 04:32:37
1924,turbidity,3008.57,2024-12-22 04:32:37
1925,temperature,78.8,2024-12-22 04:32:37
1926,total dissolved solids,0.3,2024-12-22 04:32:39
1927,turbidity,3007.66,2024-12-22 04:32:39
1928,temperature,78.69,2024-12-22 04:32:40
1929,total dissolved solids,0.3,2024-12-22 04:32:41
1930,turbidity,3012.56,2024-12-22 04:32:41
1931,total dissolved solids,0.3,2024-12-22 04:32:43
1932,turbidity,3008.69,2024-12-22 04:32:43
1933,temperature,78.46,2024-12-22 04:32:43
1934,total dissolved solids,0.3,2024-12-22 04:32:45
1935,turbidity,3000.84,2024-12-22 04:32:45
1936,temperature,78.35,2024-12-22 04:32:46
1937,total dissolved solids,0.3,2024-12-22 04:32:47
1938,turbidity,3016.54,2024-12-22 04:32:47
1939,temperature,78.24,2024-12-22 04:32:49
1940,total dissolved solids,0.3,2024-12-22 04:32:49
1941,turbidity,3016.31,2024-12-22 04:32:49
1942,total dissolved solids,0.3,2024-12-22 04:32:52
1943,turbidity,3006.64,2024-12-22 04:32:52
1944,temperature,78.12,2024-12-22 04:32:52
1945,total dissolved solids,0.3,2024-12-22 04:32:54
1946,turbidity,3016.54,2024-12-22 04:32:54
1947,temperature,78.01,2024-12-22 04:32:55
1948,total dissolved solids,0.3,2024-12-22 04:32:56
1949,turbidity,3007.66,2024-12-22 04:32:56
1950,temperature,77.9,2024-12-22 04:32:58
1951,turbidity,1.25,2024-12-22 04:32:58
1952,total dissolved solids,0.3,2024-12-22 04:32:58
1953,total dissolved solids,0.3,2024-12-22 04:33:00
1954,turbidity,3014.6,2024-12-22 04:33:00
1955,temperature,77.67,2024-12-22 04:33:01
1956,total dissolved solids,0.3,2024-12-22 04:33:02
1957,turbidity,1.25,2024-12-22 04:33:02
1958,temperature,77.56,2024-12-22 04:33:04
1959,turbidity,1.37,2024-12-22 04:33:04
1960,total dissolved solids,0.33,2024-12-22 04:33:04
1961,turbidity,3008.01,2024-12-22 04:33:06
1962,total dissolved solids,718.59,2024-12-22 04:33:06
1963,temperature,77.56,2024-12-22 04:33:07
1964,turbidity,3000.27,2024-12-22 04:33:08
1965,total dissolved solids,716.74,2024-12-22 04:33:08
1966,temperature,77.45,2024-12-22 04:33:10
1967,total dissolved solids,0.3,2024-12-22 04:33:11
1968,turbidity,1.25,2024-12-22 04:33:11
1969,temperature,77.34,2024-12-22 04:33:12
1970,total dissolved solids,719.54,2024-12-22 04:33:13
1971,turbidity,3011.99,2024-12-22 04:33:13
1972,total dissolved solids,0.3,2024-12-22 04:33:15
1973,turbidity,1.25,2024-12-22 04:33:15
1974,temperature,77.22,2024-12-22 04:33:15
1975,total dissolved solids,0.3,2024-12-22 04:33:17
1976,turbidity,1.25,2024-12-22 04:33:17
1977,temperature,77.11,2024-12-22 04:33:18
1978,total dissolved solids,0.3,2024-12-22 04:33:19
1979,turbidity,1.25,2024-12-22 04:33:19
1980,turbidity,1.25,2024-12-22 04:33:21
1981,total dissolved solids,0.3,2024-12-22 04:33:21
1982,temperature,77.11,2024-12-22 04:33:21
1983,turbidity,3007.66,2024-12-22 04:33:23
1984,total dissolved solids,718.51,2024-12-22 04:33:23
1985,temperature,77.0,2024-12-22 04:33:24
1986,total dissolved solids,718.37,2024-12-22 04:33:25
1987,turbidity,3007.1,2024-12-22 04:33:25
1988,temperature,76.89,2024-12-22 04:33:27
1989,total dissolved solids,0.3,2024-12-22 04:33:28
1990,turbidity,1.25,2024-12-22 04:33:28
1991,total dissolved solids,0.3,2024-12-22 04:33:30
1992,turbidity,1.25,2024-12-22 04:33:30
1993,temperature,76.89,2024-12-22 04:33:30
1994,turbidity,1.25,2024-12-22 04:33:32
1995,total dissolved solids,0.3,2024-12-22 04:33:32
1996,temperature,76.78,2024-12-22 04:33:33
1997,total dissolved solids,0.3,2024-12-22 04:33:34
1998,turbidity,1.25,2024-12-22 04:33:34
1999,temperature,76.66,2024-12-22 04:33:36
2000,total dissolved solids,0.33,2024-12-22 04:33:36
2001,turbidity,1.37,2024-12-22 04:33:36
2002,total dissolved solids,0.3,2024-12-22 04:33:38
2003,turbidity,1.25,2024-12-22 04:33:38
2004,temperature,76.66,2024-12-22 04:33:39
2005,total dissolved solids,0.3,2024-12-22 04:33:40
2006,turbidity,1.25,2024-12-22 04:33:40
2007,temperature,76.55,2024-12-22 04:33:42
2008,turbidity,3008.46,2024-12-22 04:33:42
2009,total dissolved solids,718.7,2024-12-22 04:33:42
2010,total dissolved solids,718.53,2024-12-22 04:33:45
2011,turbidity,3007.78,2024-12-22 04:33:45
2012,temperature,76.44,2024-12-22 04:33:45
2013,turbidity,3011.53,2024-12-22 04:33:47
2014,total dissolved solids,719.43,2024-12-22 04:33:47
2015,temperature,76.44,2024-12-22 04:33:48
2016,total dissolved solids,721.71,2024-12-22 04:33:49
2017,turbidity,3021.09,2024-12-22 04:33:49
2018,temperature,76.33,2024-12-22 04:33:50
2019,total dissolved solids,0.3,2024-12-22 04:33:51
2020,turbidity,3008.35,2024-12-22 04:33:51
2021,total dissolved solids,0.3,2024-12-22 04:33:53
2022,turbidity,1.25,2024-12-22 04:33:53
2023,temperature,76.33,2024-12-22 04:33:53
2024,total dissolved solids,720.33,2024-12-22 04:33:55
2025,turbidity,3015.28,2024-12-22 04:33:55
2026,temperature,76.21,2024-12-22 04:33:56
2027,total dissolved solids,0.33,2024-12-22 04:33:57
2028,turbidity,1.37,2024-12-22 04:33:57
2029,temperature,76.21,2024-12-22 04:33:59
2030,turbidity,3016.54,2024-12-22 04:33:59
2031,total dissolved solids,720.63,2024-12-22 04:33:59
2032,total dissolved solids,0.3,2024-12-22 04:34:01
2033,turbidity,1.25,2024-12-22 04:34:01
2034,temperature,76.1,2024-12-22 04:34:02
2035,turbidity,3007.66,2024-12-22 04:34:04
2036,total dissolved solids,718.51,2024-12-22 04:34:04
2037,temperature,75.99,2024-12-22 04:34:05
2038,total dissolved solids,0.33,2024-12-22 04:34:06
2039,turbidity,1.37,2024-12-22 04:34:06
2040,total dissolved solids,0.3,2024-12-22 04:34:08
2041,turbidity,1.25,2024-12-22 04:34:08
2042,temperature,75.99,2024-12-22 04:34:08
2043,turbidity,1.25,2024-12-22 04:34:10
2044,total dissolved solids,0.3,2024-12-22 04:34:10
2045,temperature,75.99,2024-12-22 04:34:11
2046,turbidity,3011.42,2024-12-22 04:34:12
2047,total dissolved solids,0.3,2024-12-22 04:34:12
2048,temperature,75.99,2024-12-22 04:34:14
2049,turbidity,3011.08,2024-12-22 04:34:14
2050,total dissolved solids,0.33,2024-12-22 04:34:14
2051,turbidity,3009.37,2024-12-22 04:34:16
2052,total dissolved solids,0.33,2024-12-22 04:34:17
2053,temperature,75.88,2024-12-22 04:34:17
2054,turbidity,3009.26,2024-12-22 04:34:18
2055,total dissolved solids,0.3,2024-12-22 04:34:19
2056,temperature,75.76,2024-12-22 04:34:20
2057,turbidity,3007.66,2024-12-22 04:34:21
2058,total dissolved solids,0.33,2024-12-22 04:34:21
2059,turbidity,3013.47,2024-12-22 04:34:23
2060,temperature,75.76,2024-12-22 04:34:23
2061,total dissolved solids,0.3,2024-12-22 04:34:23
2062,turbidity,3007.21,2024-12-22 04:34:25
2063,total dissolved solids,0.3,2024-12-22 04:34:25
2064,temperature,75.76,2024-12-22 04:34:26
2065,turbidity,3007.44,2024-12-22 04:34:27
2066,total dissolved solids,0.33,2024-12-22 04:34:27
2067,temperature,75.65,2024-12-22 04:34:29
2068,turbidity,3009.82,2024-12-22 04:34:29
2069,total dissolved solids,0.3,2024-12-22 04:34:29
2070,turbidity,3013.24,2024-12-22 04:34:31
2071,total dissolved solids,0.33,2024-12-22 04:34:32
2072,temperature,75.65,2024-12-22 04:34:32
2073,turbidity,3011.08,2024-12-22 04:34:33
2074,total dissolved solids,0.3,2024-12-22 04:34:34
2075,temperature,75.54,2024-12-22 04:34:35
2076,turbidity,3011.19,2024-12-22 04:34:35
2077,total dissolved solids,0.33,2024-12-22 04:34:36
2078,turbidity,3009.94,2024-12-22 04:34:38
2079,temperature,75.54,2024-12-22 04:34:38
2080,total dissolved solids,0.33,2024-12-22 04:34:38
2081,turbidity,3008.23,2024-12-22 04:34:40
2082,total dissolved solids,0.3,2024-12-22 04:34:40
2083,temperature,75.54,2024-12-22 04:34:41
2084,turbidity,3008.57,2024-12-22 04:34:42
2085,total dissolved solids,0.3,2024-12-22 04:34:42
2086,temperature,75.54,2024-12-22 04:34:44
2087,turbidity,3005.96,2024-12-22 04:34:44
2088,total dissolved solids,0.33,2024-12-22 04:34:44
2089,turbidity,3002.55,2024-12-22 04:34:46
2090,total dissolved solids,0.3,2024-12-22 04:34:46
2091,temperature,75.42,2024-12-22 04:34:47
2092,turbidity,3012.33,2024-12-22 04:34:48
2093,total dissolved solids,0.33,2024-12-22 04:34:49
2094,temperature,75.42,2024-12-22 04:34:50
2095,turbidity,3010.96,2024-12-22 04:34:50
2096,total dissolved solids,0.33,2024-12-22 04:34:51
2097,turbidity,3010.96,2024-12-22 04:34:52
2098,temperature,75.31,2024-12-22 04:34:53
2099,total dissolved solids,0.3,2024-12-22 04:34:53
2100,turbidity,3014.15,2024-12-22 04:34:54
2101,total dissolved solids,0.33,2024-12-22 04:34:55
2102,temperature,75.31,2024-12-22 04:34:55
2103,turbidity,3013.01,2024-12-22 04:34:57
2104,total dissolved solids,0.33,2024-12-22 04:34:57
2105,temperature,75.31,2024-12-22 04:34:58
2106,turbidity,3011.99,2024-12-22 04:34:59
2107,total dissolved solids,0.3,2024-12-22 04:34:59
2108,turbidity,3009.48,2024-12-22 04:35:01
2109,temperature,75.2,2024-12-22 04:35:01
2110,total dissolved solids,0.3,2024-12-22 04:35:02
2111,turbidity,3009.71,2024-12-22 04:35:03
2112,total dissolved solids,0.3,2024-12-22 04:35:04
2113,temperature,76.21,2024-12-22 04:35:04
2114,turbidity,3010.96,2024-12-22 04:35:05
2115,total dissolved solids,0.3,2024-12-22 04:35:06
2116,temperature,78.58,2024-12-22 04:35:07
2117,turbidity,3003.57,2024-12-22 04:35:07
2118,total dissolved solids,0.3,2024-12-22 04:35:08
2119,turbidity,3012.44,2024-12-22 04:35:09
2120,temperature,80.71,2024-12-22 04:35:10
2121,total dissolved solids,0.3,2024-12-22 04:35:10
2122,turbidity,3009.94,2024-12-22 04:35:11
2123,total dissolved solids,0.3,2024-12-22 04:35:12
2124,temperature,82.4,2024-12-22 04:35:13
2125,turbidity,3011.64,2024-12-22 04:35:14
2126,total dissolved solids,0.33,2024-12-22 04:35:14
2127,turbidity,3008.69,2024-12-22 04:35:16
2128,temperature,83.53,2024-12-22 04:35:16
2129,total dissolved solids,0.33,2024-12-22 04:35:17
2130,turbidity,3015.97,2024-12-22 04:35:18
2131,total dissolved solids,0.33,2024-12-22 04:35:19
2132,temperature,84.31,2024-12-22 04:35:19
2133,turbidity,3011.42,2024-12-22 04:35:20
2134,total dissolved solids,0.3,2024-12-22 04:35:21
2135,temperature,84.09,2024-12-22 04:35:22
2136,turbidity,3012.9,2024-12-22 04:35:22
2137,total dissolved solids,0.3,2024-12-22 04:35:23
2138,turbidity,3009.94,2024-12-22 04:35:24
2139,temperature,83.64,2024-12-22 04:35:25
2140,total dissolved solids,0.3,2024-12-22 04:35:25
2141,turbidity,3009.03,2024-12-22 04:35:26
2142,total dissolved solids,0.3,2024-12-22 04:35:27
2143,temperature,83.19,2024-12-22 04:35:28
2144,turbidity,3007.1,2024-12-22 04:35:28
2145,total dissolved solids,0.3,2024-12-22 04:35:29
2146,temperature,82.74,2024-12-22 04:35:31
2147,turbidity,3014.83,2024-12-22 04:35:31
2148,total dissolved solids,0.3,2024-12-22 04:35:31
2149,turbidity,3002.2,2024-12-22 04:35:33
2150,temperature,82.4,2024-12-22 04:35:33
2151,total dissolved solids,0.33,2024-12-22 04:35:34
2152,turbidity,3009.6,2024-12-22 04:35:35
2153,total dissolved solids,0.33,2024-12-22 04:35:36
2154,temperature,81.95,2024-12-22 04:35:36
2155,turbidity,3000.72,2024-12-22 04:35:37
2156,total dissolved solids,0.3,2024-12-22 04:35:39
2157,turbidity,3011.19,2024-12-22 04:35:39
2158,temperature,81.61,2024-12-22 04:35:40
2159,total dissolved solids,0.3,2024-12-22 04:35:41
2160,turbidity,3011.08,2024-12-22 04:35:41
2161,temperature,81.28,2024-12-22 04:35:43
2162,total dissolved solids,0.3,2024-12-22 04:35:43
2163,turbidity,3015.63,2024-12-22 04:35:43
2164,total dissolved solids,0.3,2024-12-22 04:35:45
2165,turbidity,3013.92,2024-12-22 04:35:45
2166,temperature,81.16,2024-12-22 04:35:46
2167,total dissolved solids,0.3,2024-12-22 04:35:47
2168,turbidity,3009.14,2024-12-22 04:35:48
2169,temperature,80.71,2024-12-22 04:35:48
2170,total dissolved solids,0.3,2024-12-22 04:35:49
2171,turbidity,3013.92,2024-12-22 04:35:50
2172,total dissolved solids,0.3,2024-12-22 04:35:52
2173,temperature,80.6,2024-12-22 04:35:52
2174,turbidity,3011.87,2024-12-22 04:35:52
2175,total dissolved solids,0.3,2024-12-22 04:35:54
2176,turbidity,3011.08,2024-12-22 04:35:54
2177,temperature,80.26,2024-12-22 04:35:55
2178,total dissolved solids,0.3,2024-12-22 04:35:56
2179,turbidity,3012.78,2024-12-22 04:35:56
2180,temperature,80.04,2024-12-22 04:35:58
2181,total dissolved solids,0.3,2024-12-22 04:35:58
2182,turbidity,3012.56,2024-12-22 04:35:58
2183,total dissolved solids,0.33,2024-12-22 04:36:00
2184,turbidity,3017.11,2024-12-22 04:36:00
2185,temperature,79.92,2024-12-22 04:36:00
2186,total dissolved solids,0.3,2024-12-22 04:36:02
2187,turbidity,1.25,2024-12-22 04:36:02
2188,temperature,79.7,2024-12-22 04:36:03
2189,total dissolved solids,0.3,2024-12-22 04:36:05
2190,turbidity,1.25,2024-12-22 04:36:05
2191,temperature,79.47,2024-12-22 04:36:07
2192,total dissolved solids,0.33,2024-12-22 04:36:07
2193,turbidity,1.37,2024-12-22 04:36:07
2194,total dissolved solids,0.3,2024-12-22 04:36:09
2195,turbidity,1.25,2024-12-22 04:36:09
2196,temperature,79.25,2024-12-22 04:36:10
2197,total dissolved solids,718.75,2024-12-22 04:36:11
2198,turbidity,3008.69,2024-12-22 04:36:11
2199,temperature,79.14,2024-12-22 04:36:12
2200,total dissolved solids,0.3,2024-12-22 04:36:13
2201,turbidity,1.25,2024-12-22 04:36:13
2202,total dissolved solids,0.33,2024-12-22 04:36:15
2203,turbidity,1.37,2024-12-22 04:36:15
